Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,LocationID
7,2,PI_20,178,442.375,2,20
7,2,DR_19,170,514.9,3,49
7,2,DR_20,178,595.2,3,50
7,2,DR_12,90,677.625,3,42
7,3,SO_0,0,0,0,60
7,3,PI_4,42,175.325,0,4
7,3,DR_4,42,306.6,0,34
7,3,PI_14,110,387.775,0,14
7,3,PI_13,108,429.35,2,13
7,3,PI_28,262,521.025,2,28
7,3,DR_13,108,538.625,3,43
7,3,DR_14,110,657.225,3,44
7,3,DR_28,262,677.725,3,58
7,4,SO_0,0,0,0,60
7,4,PI_8,60,164.1,2,8
7,4,PI_11,80,181.025,2,11
7,4,PI_6,48,228.9,0,6
7,4,DR_8,60,280.15,0,38
7,4,PI_21,196,394.95,0,21
7,4,DR_11,80,479.4,3,41
7,4,DR_21,196,490.65,3,51
7,4,PI_29,280,543.05,2,29
7,4,DR_29,280,608.725,3,59
7,4,DR_6,48,654.275,3,36
7,5,SO_0,0,0,0,60
7,5,PI_10,72,144.975,2,10
7,5,PI_1,6,207.05,0,1
7,5,PI_9,66,290.425,0,9
7,5,DR_10,72,368.375,0,40
7,5,DR_1,6,505.675,3,31
7,5,DR_9,66,535.15,3,39
