Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
6,1,SO_0,0,0,0,40.7439,-73.9899,60
6,1,PI_6,48,171.45,0,40.7562,-73.9924,6
6,1,PI_12,90,219.725,0,40.7569,-73.9857,12
6,1,PI_17,146,302.15,0,40.74,-73.9857,17
6,1,DR_12,90,362.325,0,40.7294,-73.9914,42
6,2,SO_0,0,0,0,40.7439,-73.9899,60
6,2,PI_3,40,195.525,0,40.7667,-73.9832,3
6,2,DR_3,40,235.375,0,40.7576,-73.9907,33
6,2,PI_7,58,269.75,0,40.762,-74.0017,7
6,2,DR_7,58,331.45,0,40.7497,-73.9876,37
6,2,PI_25,236,366.275,0,40.7564,-73.9902,25
6,3,SO_0,0,0,0,40.7439,-73.9899,60
6,3,PI_4,42,175.325,0,40.7334,-74.003,4
6,3,PI_9,66,217.7,0,40.7391,-74.0031,9
6,3,PI_14,110,254.175,0,40.7431,-73.9964,14
6,3,PI_13,108,295.75,2,40.7488,-74.0069,13
6,3,DR_14,110,354.9,0,40.7381,-74.0008,44
6,4,SO_0,0,0,0,40.7439,-73.9899,60
6,4,PI_5,44,143.85,2,40.7496,-73.9953,5
6,4,PI_0,0,156.225,0,40.7509,-73.9927,0
6,4,PI_8,60,215.475,0,40.7581,-73.9752,8
6,4,PI_11,80,232.4,2,40.757,-73.9784,11
6,4,DR_0,0,252.9,0,40.7605,-73.9802,30
6,4,PI_18,156,266.65,2,40.7607,-73.9836,18
6,4,DR_18,156,295.475,3,40.7581,-73.9779,48
6,4,PI_19,170,342.575,0,40.7531,-73.9855,19
6,4,DR_5,44,396.475,0,40.769,-73.9822,35
6,5,SO_0,0,0,0,40.7439,-73.9899,60
6,5,PI_1,6,202.75,0,40.7224,-73.9971,1
6,5,PI_16,134,226.9,2,40.7256,-73.9921,16
6,5,PI_15,120,233.6,2,40.7269,-73.9915,15
6,5,DR_15,120,250.625,0,40.7305,-73.9901,45
6,5,PI_21,196,282.825,2,40.7267,-73.9941,21
6,5,DR_16,134,330.525,0,40.7353,-73.9984,46
6,5,PI_23,208,354.075,0,40.7398,-74.0024,23
