latitude,longitude
40.8785101759260,-73.9279031753540
40.8774393750690,-73.9216804504394
40.8751679219709,-73.9187192916870
40.8739348147932,-73.9119386672973
40.8718254992714,-73.9097070693969
40.8660164214918,-73.9116811752319
40.8596550590778,-73.9176464080810
40.8485536676101,-73.9266586303710
40.8439437714178,-73.9294910430908
40.8355022853186,-73.9339542388916
40.8281638125236,-73.9339542388916
40.8197203170122,-73.9331817626953
40.8086772009571,-73.9333534240722
40.8019205061097,-73.9280319213867
40.7958778790764,-73.9282035827636
40.7821012323438,-73.9410781860351
40.7754718273199,-73.9395332336425
40.7701418259051,-73.9458847045898
40.7583102951220,-73.9566993713378
40.7443958009767,-73.9688873291015
40.7174688416883,-73.9707756042480
40.7092715173956,-73.9764404296875
40.7066689811733,-73.9949798583984
40.6972990086367,-74.0100860595703
40.6989909067437,-74.0238189697265
40.7490776380590,-74.0135192871093
40.7795015445216,-73.9953231811523
40.8182263558917,-73.9675140380859
40.8531632431215,-73.9484596252441
