,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,min_travel_time
214507,2015-07-01 16:00:27,2015-07-01 16:26:34,1,0.8,-73.9929962158203,40.75328063964844,-73.993896484375,40.75826644897461,1567
214509,2015-07-01 16:00:27,2015-07-01 16:10:28,5,0.95,-73.9933853149414,40.75210189819336,-73.97822570800781,40.74734115600586,601
214510,2015-07-01 16:00:27,2015-07-01 16:30:56,1,5.04,-73.97724914550781,40.757572174072266,-74.01564025878906,40.71525955200195,1829
214511,2015-07-01 16:00:28,2015-07-01 16:15:38,1,1.09,-73.98509979248048,40.7418212890625,-73.97823333740233,40.75362014770508,910
214514,2015-07-01 16:00:29,2015-07-01 16:24:21,1,2.64,-73.98167419433594,40.75760269165039,-74.0030746459961,40.749656677246094,1432
214515,2015-07-01 16:00:29,2015-07-01 16:28:44,1,2.63,-73.97360229492188,40.76333999633789,-74.00554656982422,40.75008010864258,1695
214517,2015-07-01 16:00:30,2015-07-01 16:11:28,5,1.67,-73.989501953125,40.72608184814453,-73.99246215820312,40.74243927001953,658
214518,2015-07-01 16:00:31,2015-07-01 16:19:49,1,2.0,-73.97998809814453,40.76193237304688,-73.99139404296875,40.750045776367195,1158
214528,2015-07-01 16:00:34,2015-07-01 16:10:47,2,0.59,-73.9896011352539,40.75148391723633,-73.99812316894531,40.7500114440918,613
214533,2015-07-01 16:00:36,2015-07-01 16:11:13,1,0.9,-73.97876739501953,40.761993408203125,-73.97516632080078,40.75263214111328,637
214532,2015-07-01 16:00:36,2015-07-01 16:11:09,1,1.4,-73.97635650634764,40.75049209594727,-73.99266815185547,40.7394905090332,633
214534,2015-07-01 16:00:37,2015-07-01 16:11:25,3,0.9,-73.96601104736328,40.76224899291992,-73.97522735595702,40.751258850097656,648
214535,2015-07-01 16:00:37,2015-07-01 16:04:46,1,0.5,-73.98696899414062,40.756103515625,-73.99248504638672,40.74843597412109,249
214540,2015-07-01 16:00:38,2015-07-01 16:09:48,1,0.78,-73.97922515869139,40.7639045715332,-73.97744750976561,40.75661087036133,550
214544,2015-07-01 16:00:39,2015-07-01 16:18:40,1,2.89,-73.99200439453125,40.75884628295898,-73.99266815185547,40.72836685180664,1081
214545,2015-07-01 16:00:40,2015-07-01 16:13:21,1,1.7,-73.99653625488281,40.753177642822266,-74.0033950805664,40.73148727416992,761
214546,2015-07-01 16:00:40,2015-07-01 16:11:17,1,0.79,-74.00372314453125,40.73251724243164,-73.99634552001953,40.738140106201165,637
214547,2015-07-01 16:00:41,2015-07-01 16:11:23,1,0.7,-73.96879577636719,40.76122283935546,-73.97718811035155,40.758316040039055,642
214554,2015-07-01 16:00:42,2015-07-01 16:08:13,2,1.17,-73.96128845214845,40.755897521972656,-73.96832275390625,40.7615966796875,451
214556,2015-07-01 16:00:43,2015-07-01 16:18:16,1,1.7,-73.99126434326173,40.755325317382805,-73.96956634521484,40.7611083984375,1053
214559,2015-07-01 16:00:43,2015-07-01 16:05:17,2,0.51,-73.99945831298828,40.73646926879882,-73.9912109375,40.73492050170898,274
214566,2015-07-01 16:00:44,2015-07-01 16:20:10,1,2.35,-73.99321746826173,40.74656295776367,-74.0091094970703,40.71550369262695,1166
214565,2015-07-01 16:00:44,2015-07-01 16:33:11,1,4.44,-73.99765014648438,40.75480270385742,-73.99195098876953,40.71504974365234,1947
214575,2015-07-01 16:00:45,2015-07-01 16:16:04,5,0.88,-74.00469207763672,40.7425651550293,-73.99378204345702,40.747196197509766,919
214574,2015-07-01 16:00:45,2015-07-01 16:07:33,1,1.3,-73.9954833984375,40.75442886352539,-74.008056640625,40.739700317382805,408
214569,2015-07-01 16:00:45,2015-07-01 16:10:40,1,0.7,-73.99346160888672,40.746967315673835,-74.00588226318358,40.750198364257805,595
214570,2015-07-01 16:00:45,2015-07-01 16:09:39,2,0.8,-74.00301361083984,40.73345565795898,-74.00154876708984,40.72500228881836,534
214577,2015-07-01 16:00:46,2015-07-01 18:03:12,5,32.93,-73.97400665283203,40.76382827758789,-73.9776611328125,40.76435089111328,7346
214580,2015-07-01 16:00:47,2015-07-01 16:08:43,1,1.3,-73.98412322998048,40.746143341064446,-73.98847198486328,40.7315673828125,476
214584,2015-07-01 16:00:48,2015-07-01 16:23:39,1,2.3,-73.9869384765625,40.736629486083984,-73.96720123291014,40.76119613647461,1371
214587,2015-07-01 16:00:48,2015-07-01 16:11:49,1,0.9,-73.98735809326173,40.73891067504882,-73.9891357421875,40.74810028076172,661
214589,2015-07-01 16:00:48,2015-07-01 16:19:13,2,0.88,-73.99674224853516,40.7422981262207,-73.98760223388672,40.75014877319336,1105
214590,2015-07-01 16:00:49,2015-07-01 16:27:19,1,1.92,-73.96791076660156,40.75138854980469,-73.99022674560547,40.75667572021485,1590
214592,2015-07-01 16:00:50,2015-07-01 16:10:16,1,0.8,-73.9930419921875,40.74323654174805,-73.98135375976561,40.737449645996094,566
214593,2015-07-01 16:00:50,2015-07-01 16:15:59,2,1.13,-73.99533081054686,40.74951934814453,-73.97795104980467,40.745311737060554,909
