latitude,longitude
40.7583103,-73.95669937
40.7443958,-73.96888733
40.71746884,-73.9707756
40.70927152,-73.97644043
40.70666898,-73.99497986
40.69729901,-74.01008606
40.69899091,-74.02381897
40.74907764,-74.01351929
40.77950154,-73.99532318
40.7583103,-73.95669937
