Epoch,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
6,0,PI_3,57640,57795.5,0,40.7667,-73.9832,3
6,0,DR_3,57640,57835.4,0,40.7576,-73.9907,33
6,0,PI_7,57658,57869.8,0,40.762,-74.0017,7
6,0,DR_7,57658,57931.4,0,40.7497,-73.9876,37
6,0,PI_20,57778,57944.3,2,40.7478,-73.9852,20
6,0,PI_19,57770,57971.1,0,40.7531,-73.9855,19
6,1,SO_0,0,0,0,40.7439,-73.9899,60
6,1,PI_1,57606,57802.8,0,40.7224,-73.9971,1
6,1,PI_16,57734,57826.9,2,40.7256,-73.9921,16
6,1,PI_15,57720,57833.6,2,40.7269,-73.9915,15
6,1,DR_15,57720,57850.6,0,40.7305,-73.9901,45
6,1,PI_17,57746,57893.5,2,40.74,-73.9857,17
6,1,DR_16,57734,57967.7,0,40.7353,-73.9984,46
6,2,SO_0,0,0,0,40.7439,-73.9899,60
6,2,PI_6,57648,57771.4,0,40.7562,-73.9924,6
6,2,PI_12,57690,57819.7,0,40.7569,-73.9857,12
6,2,DR_6,57648,57860.3,0,40.7516,-73.9711,36
6,2,PI_22,57800,57907.2,0,40.7479,-73.9837,22
6,2,DR_22,57800,57948.4,3,40.7555,-73.9921,52
6,2,PI_25,57836,57977.6,0,40.7564,-73.9902,25
6,3,SO_0,0,0,0,40.7439,-73.9899,60
6,3,PI_4,57642,57775.3,0,40.7334,-74.003,4
6,3,PI_9,57666,57817.7,0,40.7391,-74.0031,9
6,3,PI_14,57710,57854.2,0,40.7431,-73.9964,14
6,3,PI_13,57708,57895.8,2,40.7488,-74.0069,13
6,3,DR_14,57710,57954.9,0,40.7381,-74.0008,44
6,4,SO_0,0,0,0,40.7439,-73.9899,60
6,4,PI_2,57624,57737.1,2,40.7417,-73.992,2
6,4,DR_2,57624,57813.5,0,40.7272,-73.9937,32
6,4,PI_10,57672,57858.7,0,40.7346,-73.9949,10
6,4,PI_21,57796,57902.7,0,40.7267,-73.9941,21
6,4,PI_27,57844,57972.5,0,40.7151,-73.9924,27
6,5,SO_0,0,0,0,40.7439,-73.9899,60
6,5,PI_5,57644,57743.9,2,40.7496,-73.9953,5
6,5,PI_0,57600,57756.2,0,40.7509,-73.9927,0
6,5,PI_8,57660,57815.5,0,40.7581,-73.9752,8
6,5,PI_11,57680,57832.4,2,40.757,-73.9784,11
6,5,DR_0,57600,57852.9,0,40.7605,-73.9802,30
6,5,PI_18,57756,57866.7,2,40.7607,-73.9836,18
6,5,DR_5,57644,57906.3,0,40.769,-73.9822,35
6,5,DR_18,57756,57952.5,0,40.7581,-73.9779,48
7,0,SO_0,0,0,0,40.7439,-73.9899,60
7,0,PI_3,57640,57795.5,0,40.7667,-73.9832,3
7,0,DR_3,57640,57835.4,0,40.7576,-73.9907,33
7,0,PI_7,57658,57869.8,0,40.762,-74.0017,7
7,0,DR_7,57658,57931.4,0,40.7497,-73.9876,37
7,0,PI_20,57778,57944.3,2,40.7478,-73.9852,20
7,0,PI_19,57770,57971.1,0,40.7531,-73.9855,19
7,0,PI_28,57862,58012.9,2,40.748,-73.9766,28
7,0,DR_19,57770,58088.8,3,40.761,-74.0023,49
7,0,DR_20,57778,58169.1,3,40.7434,-73.9963,50
7,0,DR_28,57862,58204.1,3,40.7352,-74.0018,58
7,1,SO_0,0,0,0,40.7439,-73.9899,60
7,1,PI_1,57606,57802.8,0,40.7224,-73.9971,1
7,1,PI_16,57734,57826.9,2,40.7256,-73.9921,16
7,1,PI_15,57720,57833.6,2,40.7269,-73.9915,15
7,1,DR_15,57720,57850.6,0,40.7305,-73.9901,45
7,1,PI_17,57746,57893.5,2,40.74,-73.9857,17
7,1,DR_16,57734,57967.7,0,40.7353,-73.9984,46
7,1,PI_23,57808,57991.2,2,40.7398,-74.0024,23
7,1,DR_17,57746,58062.2,3,40.7496,-73.9879,47
7,1,DR_1,57606,58078.5,3,40.7534,-73.9853,31
7,1,DR_23,57808,58142.7,3,40.7715,-73.9889,53
7,2,SO_0,0,0,0,40.7439,-73.9899,60
7,2,PI_6,57648,57771.4,0,40.7562,-73.9924,6
7,2,PI_12,57690,57819.7,0,40.7569,-73.9857,12
7,2,DR_6,57648,57860.3,0,40.7516,-73.9711,36
7,2,PI_22,57800,57907.2,0,40.7479,-73.9837,22
7,2,DR_22,57800,57948.4,3,40.7555,-73.9921,52
7,2,PI_25,57836,57977.6,0,40.7564,-73.9902,25
7,2,DR_25,57836,58025,3,40.75,-73.9825,55
7,2,PI_24,57820,58031.1,2,40.7493,-73.9838,24
7,2,DR_12,57690,58132.4,3,40.7294,-73.9914,42
7,2,DR_24,57820,58228.1,3,40.7457,-73.9938,54
7,3,SO_0,0,0,0,40.7439,-73.9899,60
7,3,PI_4,57642,57775.3,0,40.7334,-74.003,4
7,3,PI_9,57666,57817.7,0,40.7391,-74.0031,9
7,3,PI_14,57710,57854.2,0,40.7431,-73.9964,14
7,3,PI_13,57708,57895.8,2,40.7488,-74.0069,13
7,3,DR_14,57710,57954.9,0,40.7381,-74.0008,44
7,3,PI_26,57838,57999.6,2,40.735,-73.9918,26
7,3,DR_26,57838,58050.2,3,40.7329,-73.9862,56
7,3,DR_13,57708,58130.8,3,40.7512,-73.9725,43
7,3,DR_9,57666,58170.1,3,40.758,-73.9756,39
7,3,DR_4,57642,58197,3,40.759,-73.9785,34
7,4,SO_0,0,0,0,40.7439,-73.9899,60
7,4,PI_2,57624,57737.1,2,40.7417,-73.992,2
7,4,DR_2,57624,57813.5,0,40.7272,-73.9937,32
7,4,PI_10,57672,57858.7,0,40.7346,-73.9949,10
7,4,PI_21,57796,57902.7,0,40.7267,-73.9941,21
