Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,LocationID
5,0,2,PI_23,208,0,2,23
5,0,2,PI_27,244,0,2,27
5,0,2,DR_12,90,0,3,42
5,0,2,DR_27,244,0,3,57
5,0,2,DR_23,208,0,3,53
5,0,3,DR_4,42,326.725,0,34
5,0,3,PI_24,220,0,2,24
5,0,3,DR_24,220,0,3,54
5,0,3,PI_25,236,0,2,25
5,0,3,DR_9,66,0,3,39
5,0,3,DR_25,236,0,3,55
5,0,3,PI_7,58,0,2,7
5,0,3,DR_7,58,0,3,37
5,0,4,DR_11,80,332.375,0,41
5,0,4,PI_26,238,0,2,26
5,0,4,PI_21,196,0,2,21
5,0,4,DR_26,238,0,3,56
5,0,4,DR_21,196,0,3,51
5,0,4,DR_6,48,0,3,36
5,0,5,DR_1,6,370.675,0,31
5,0,5,PI_20,178,0,2,20
5,0,5,DR_20,178,0,3,50
5,0,5,PI_14,110,0,2,14
5,0,5,PI_13,108,0,2,13
5,0,5,DR_14,110,0,3,44
5,0,5,DR_13,108,0,3,43
5,1,0,PI_19,170,338.45,0,19
5,1,0,DR_18,156,0,3,48
5,1,0,DR_19,170,0,3,49
5,1,1,DR_15,120,342.45,0,45
5,1,1,DR_16,134,0,3,46
5,1,1,PI_23,208,0,2,23
5,1,1,PI_27,244,0,2,27
5,1,1,DR_27,244,0,3,57
5,1,1,DR_17,146,0,3,47
5,1,1,DR_23,208,0,3,53
5,1,2,PI_22,200,303.25,0,22
5,1,2,DR_22,200,0,3,52
5,1,2,DR_12,90,0,3,42
5,1,3,DR_4,42,326.725,0,34
5,1,3,PI_24,220,0,2,24
5,1,3,DR_24,220,0,3,54
5,1,3,PI_25,236,0,2,25
5,1,3,DR_9,66,0,3,39
5,1,3,DR_25,236,0,3,55
5,1,3,PI_7,58,0,2,7
5,1,3,DR_7,58,0,3,37
5,1,4,DR_11,80,332.375,0,41
5,1,4,PI_26,238,0,2,26
5,1,4,PI_21,196,0,2,21
5,1,4,DR_26,238,0,3,56
5,1,4,DR_21,196,0,3,51
5,1,4,DR_6,48,0,3,36
5,1,5,DR_1,6,370.675,0,31
5,1,5,PI_20,178,0,2,20
5,1,5,DR_20,178,0,3,50
5,1,5,PI_14,110,0,2,14
5,1,5,PI_13,108,0,2,13
5,1,5,DR_14,110,0,3,44
5,1,5,DR_13,108,0,3,43
5,2,0,PI_19,170,338.45,0,19
5,2,0,PI_20,178,0,2,20
5,2,0,DR_20,178,0,3,50
5,2,0,PI_14,110,0,2,14
5,2,0,PI_13,108,0,2,13
5,2,0,DR_13,108,0,3,43
5,2,0,DR_18,156,0,3,48
5,2,0,DR_19,170,0,3,49
5,2,0,DR_14,110,0,3,44
5,2,1,DR_15,120,342.45,0,45
5,2,1,DR_16,134,0,3,46
5,2,1,PI_23,208,0,2,23
5,2,1,PI_27,244,0,2,27
5,2,1,DR_27,244,0,3,57
5,2,1,DR_17,146,0,3,47
5,2,1,DR_23,208,0,3,53
5,2,2,PI_22,200,303.25,0,22
5,2,2,DR_22,200,0,3,52
5,2,2,DR_12,90,0,3,42
5,2,3,DR_4,42,326.725,0,34
5,2,3,PI_24,220,0,2,24
5,2,3,DR_24,220,0,3,54
5,2,3,PI_25,236,0,2,25
5,2,3,DR_9,66,0,3,39
5,2,3,DR_25,236,0,3,55
5,2,3,PI_7,58,0,2,7
5,2,3,DR_7,58,0,3,37
5,2,4,DR_11,80,332.375,0,41
5,2,4,PI_26,238,0,2,26
5,2,4,PI_21,196,0,2,21
5,2,4,DR_26,238,0,3,56
5,2,4,DR_21,196,0,3,51
5,2,4,DR_6,48,0,3,36
