Epoch, ISUDIter,VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
2,2,5,DR_0,57600,0,3,40.7605,-73.9802,30
2,2,5,PI_8,57660,0,2,40.7581,-73.9752,8
2,2,5,DR_5,57644,0,3,40.769,-73.9822,35
2,2,5,DR_8,57660,0,3,40.7492,-73.9878,38
2,2,5,DR_11,57680,0,3,40.7425,-73.9782,41
2,2,5,DR_12,57690,0,3,40.7294,-73.9914,42
2,3,0,PI_3,57640,57795.5,0,40.7667,-73.9832,3
2,3,0,DR_3,57640,0,3,40.7576,-73.9907,33
2,3,0,PI_7,57658,0,2,40.762,-74.0017,7
2,3,0,DR_7,57658,0,3,40.7497,-73.9876,37
2,3,1,PI_1,57606,57802.8,0,40.7224,-73.9971,1
2,3,1,DR_1,57606,0,3,40.7534,-73.9853,31
2,3,2,PI_6,57648,57771.4,0,40.7562,-73.9924,6
2,3,2,PI_12,57690,0,2,40.7569,-73.9857,12
2,3,2,DR_6,57648,0,3,40.7516,-73.9711,36
2,3,2,DR_12,57690,0,3,40.7294,-73.9914,42
2,3,3,PI_4,57642,57775.3,0,40.7334,-74.003,4
2,3,3,PI_9,57666,0,2,40.7391,-74.0031,9
2,3,3,PI_10,57672,0,2,40.7346,-73.9949,10
2,3,3,DR_10,57672,0,3,40.7239,-74.001,40
2,3,3,DR_4,57642,0,3,40.759,-73.9785,34
2,3,3,DR_9,57666,0,3,40.758,-73.9756,39
2,3,4,DR_2,57624,57813.5,0,40.7272,-73.9937,32
2,3,5,PI_0,57600,57756.2,0,40.7509,-73.9927,0
2,3,5,PI_8,57660,0,2,40.7581,-73.9752,8
2,3,5,PI_11,57680,0,2,40.757,-73.9784,11
2,3,5,DR_0,57600,0,3,40.7605,-73.9802,30
2,3,5,DR_5,57644,0,3,40.769,-73.9822,35
2,3,5,DR_11,57680,0,3,40.7425,-73.9782,41
2,3,5,DR_8,57660,0,3,40.7492,-73.9878,38
